x,y,lon,lat
3652.6845637585,3070.9815436272,2.339336872,48.8577834728
3874.3708053692,3286.0612416138,2.3447763919,48.854338647
3049.2869127521,1817.2063758443,2.3234152793,48.8790119195
1940.1216442958,2133.5864094014,2.295295,48.8737091804
